img, label, ecd.nm, minor.ax.len.nm, major.ax.len.nm, ar, solidity
5, 34, 74.4585, 73.4912, 75.5969, 1.02865, 0.980769
5, 36, 83.264, 82.7871, 83.8258, 1.01255, 0.979608
5, 37, 64.5483, 64.4207, 64.9302, 1.00791, 0.949594
5, 38, 82.6313, 81.4413, 83.916, 1.03039, 0.98247
5, 40, 78.0471, 77.2874, 78.9367, 1.02134, 0.984848
5, 41, 48.5574, 48.2597, 49.0532, 1.01644, 0.959573
5, 42, 71.8711, 71.4147, 72.4767, 1.01487, 0.981132
5, 43, 67.5699, 67.2096, 68.1117, 1.01342, 0.983845
5, 44, 77.3112, 76.9389, 77.7222, 1.01018, 0.984563
5, 45, 85.0457, 84.58, 85.617, 1.01226, 0.982684
5, 46, 56.1972, 54.641, 58.0347, 1.06211, 0.976246
5, 47, 59.2336, 58.7917, 59.7582, 1.01644, 0.984227
5, 48, 74.2063, 73.4755, 75.0166, 1.02097, 0.981952
5, 49, 76.7882, 75.0328, 78.6653, 1.04841, 0.985589
5, 50, 97.4327, 96.6421, 98.2692, 1.01684, 0.985217
5, 51, 80.2377, 79.4125, 81.1964, 1.02246, 0.983395
5, 52, 68.4655, 67.7395, 69.3043, 1.0231, 0.984258
5, 53, 75.8426, 74.9706, 76.9536, 1.02645, 0.982709
5, 54, 66.2393, 66.0032, 66.5513, 1.0083, 0.973794
5, 55, 87.6183, 86.0693, 89.2503, 1.03696, 0.984142
5, 56, 94.3245, 93.0271, 95.7586, 1.02936, 0.98465
5, 57, 94.8891, 93.5883, 96.2694, 1.02865, 0.985638
5, 59, 74.042, 72.8587, 75.3394, 1.03405, 0.980885
5, 60, 82.1308, 81.3793, 83.1289, 1.0215, 0.973755
5, 61, 73.0224, 72.4149, 73.8125, 1.0193, 0.987504
5, 62, 48.5767, 48.0828, 49.2229, 1.02371, 0.968462
5, 63, 87.4899, 85.729, 89.3904, 1.04271, 0.984334
5, 65, 69.7403, 69.5215, 70.111, 1.00848, 0.979985
5, 66, 73.9533, 72.9334, 75.1276, 1.03008, 0.980511
5, 67, 81.7419, 80.9749, 82.6186, 1.0203, 0.97591
6, 2, 66.1968, 65.63, 66.8219, 1.01816, 0.984007
6, 3, 104.756, 103.601, 105.968, 1.02285, 0.980409
6, 5, 63.317, 62.861, 63.9158, 1.01678, 0.979844
